         786300 function calls (779308 primitive calls) in 0.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 zipfile.py:3(<module>)
     4160    0.001    0.000    0.001    0.000 __init__.py:2212(_normalize_cached)
        2    0.000    0.000    0.001    0.001 pyparsing.py:1586(parseString)
      504    0.001    0.000    0.001    0.000 {_codecs.utf_8_decode}
        1    0.000    0.000    0.001    0.001 exceptions.py:5(<module>)
        1    0.000    0.000    0.001    0.001 reflect.py:8(<module>)
        1    0.000    0.000    0.001    0.001 _stdlib.py:7(<module>)
     4306    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
        1    0.000    0.000    0.001    0.001 decorators.py:1(<module>)
      365    0.000    0.000    0.001    0.000 webbrowser.py:114(_isexecutable)
       17    0.001    0.000    0.001    0.000 {method 'readlines' of 'file' objects}
        1    0.000    0.000    0.001    0.001 plistlib.py:51(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:1940(find_eggs_in_zip)
     2152    0.001    0.000    0.001    0.000 posixpath.py:52(isabs)
       11    0.000    0.000    0.001    0.000 utils.py:27(register_decorator)
      218    0.001    0.000    0.001    0.000 {open}
        3    0.001    0.000    0.001    0.000 __init__.py:490(PYFUNCTYPE)
        1    0.001    0.001    0.001    0.001 six.py:1(<module>)
        1    0.000    0.000    0.001    0.001 specifiers.py:214(LegacySpecifier)
        1    0.001    0.001    0.001    0.001 http_headers.py:7(<module>)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:231(RawConfigParser)
     2138    0.001    0.000    0.001    0.000 interface.py:218(<lambda>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 xmlrpclib.py:138(<module>)
      252    0.001    0.000    0.001    0.000 {method 'splitlines' of 'unicode' objects}
      337    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:1347(_parseNoCache)
     10/2    0.000    0.000    0.001    0.001 pyparsing.py:3375(parseImpl)
      252    0.000    0.000    0.001    0.000 __init__.py:1868(_warn_on_replacement)
     4487    0.001    0.000    0.001    0.000 {min}
     2053    0.001    0.000    0.001    0.000 sre_parse.py:92(__init__)
      542    0.001    0.000    0.001    0.000 sre_parse.py:236(_class_escape)
     5722    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
      127    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 interface.py:15(<module>)
     2409    0.001    0.000    0.001    0.000 string.py:222(lower)
     5298    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
        1    0.000    0.000    0.001    0.001 config.py:350(BaseConfigurator)
     4978    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
  238/156    0.000    0.000    0.001    0.000 pyparsing.py:131(_ustr)
       49    0.000    0.000    0.001    0.000 pyparsing.py:1926(__or__)
        1    0.000    0.000    0.001    0.001 abstract.py:7(<module>)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
       23    0.000    0.000    0.001    0.000 six.py:814(wrapper)
        1    0.000    0.000    0.001    0.001 markupbase.py:7(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:8(<module>)
       11    0.000    0.000    0.001    0.000 utils.py:74(verify_interface)
