         786276 function calls (779284 primitive calls) in 0.621 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 iweb.py:11(<module>)
      199    0.000    0.000    0.004    0.000 __init__.py:1465(get_metadata)
        1    0.000    0.000    0.004    0.004 interfaces.py:15(<module>)
       22    0.000    0.000    0.004    0.000 six.py:80(_import_module)
        6    0.000    0.000    0.004    0.001 six.py:114(_resolve)
     7127    0.002    0.000    0.004    0.000 sre_parse.py:206(match)
      660    0.001    0.000    0.004    0.000 re.py:148(sub)
        1    0.000    0.000    0.003    0.003 url.py:4(<module>)
        2    0.000    0.000    0.003    0.002 binding.py:177(init_static_locks)
        3    0.000    0.000    0.003    0.001 binding.py:163(_ensure_ffi_initialized)
      329    0.002    0.000    0.003    0.000 __init__.py:2666(insert_on)
    20268    0.003    0.000    0.003    0.000 version.py:54(<lambda>)
      872    0.001    0.000    0.003    0.000 genericpath.py:23(exists)
        1    0.001    0.001    0.003    0.003 binding.py:100(build_conditional_library)
     1976    0.002    0.000    0.003    0.000 __init__.py:2494(key)
        1    0.001    0.001    0.003    0.003 urllib.py:23(<module>)
       13    0.000    0.000    0.003    0.000 pyparsing.py:2631(__init__)
     5687    0.002    0.000    0.003    0.000 inspect.py:51(ismodule)
        1    0.000    0.000    0.003    0.003 version.py:191(Version)
      345    0.002    0.000    0.003    0.000 ro.py:18(_mergeOrderings)
      471    0.001    0.000    0.003    0.000 copy.py:306(_reconstruct)
    18347    0.003    0.000    0.003    0.000 {method 'group' of '_sre.SRE_Match' objects}
      199    0.001    0.000    0.003    0.000 __init__.py:1576(_get)
        1    0.000    0.000    0.003    0.003 address.py:6(<module>)
       61    0.001    0.000    0.003    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 webbrowser.py:2(<module>)
     6929    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 html.py:4(<module>)
     1884    0.002    0.000    0.003    0.000 __init__.py:2621(__getattr__)
        1    0.000    0.000    0.003    0.003 random.py:40(<module>)
        1    0.000    0.000    0.003    0.003 credentials.py:9(<module>)
     4785    0.002    0.000    0.003    0.000 stat.py:55(S_ISLNK)
     1127    0.000    0.000    0.003    0.000 interface.py:525(__eq__)
        1    0.001    0.001    0.003    0.003 config.py:25(<module>)
      300    0.002    0.000    0.002    0.000 interface.py:612(fromFunction)
      120    0.000    0.000    0.002    0.000 __init__.py:2950(_find_adapter)
        1    0.000    0.000    0.002    0.002 spidermw.py:5(<module>)
     6368    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 headers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 re.py:143(search)
     2636    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x906bc0}
      345    0.001    0.000    0.002    0.000 ro.py:47(_flatten)
        1    0.000    0.000    0.002    0.002 base.py:7(<module>)
     4544    0.002    0.000    0.002    0.000 {hasattr}
      617    0.001    0.000    0.002    0.000 genericpath.py:34(isfile)
      205    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
      120    0.002    0.000    0.002    0.000 __init__.py:2939(_get_mro)
        1    0.000    0.000    0.002    0.002 unix.py:11(<module>)
      394    0.000    0.000    0.002    0.000 __init__.py:1564(_has)
        1    0.000    0.000    0.002    0.002 __init__.py:2266(EntryPoint)
        1    0.000    0.000    0.002    0.002 conf.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssl.py:88(<module>)
        5    0.000    0.000    0.002    0.000 six.py:195(load_module)
     3168    0.002    0.000    0.002    0.000 interface.py:518(__hash__)
     1127    0.001    0.000    0.002    0.000 interface.py:487(__cmp)
     7354    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.002    0.002 pyparsing.py:4882(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4853(_makeTags)
      582    0.001    0.000    0.002    0.000 inspect.py:398(getfile)
      288    0.001    0.000    0.002    0.000 deprecate.py:377(__getattribute__)
    13864    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.002    0.002 multibackend.py:5(<module>)
    11774    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      596    0.001    0.000    0.002    0.000 __init__.py:1523(_fn)
       30    0.000    0.000    0.002    0.000 webbrowser.py:121(_iscommand)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1799(__add__)
        4    0.000    0.000    0.002    0.000 __init__.py:2135(declare_namespace)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1227(setParseAction)
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
        1    0.000    0.000    0.002    0.002 ConfigParser.py:88(<module>)
      378    0.000    0.000    0.002    0.000 __init__.py:1856(has_metadata)
        1    0.000    0.000    0.002    0.002 process.py:11(<module>)
        1    0.000    0.000    0.002    0.002 protocol.py:10(<module>)
      471    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
      946    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
       21    0.000    0.000    0.002    0.000 six.py:91(__get__)
      825    0.001    0.000    0.002    0.000 sre_compile.py:428(_simple)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1016(_trim_arity)
        1    0.000    0.000    0.002    0.002 rpc.py:6(<module>)
      134    0.001    0.000    0.002    0.000 pyparsing.py:3238(__init__)
      474    0.001    0.000    0.002    0.000 interface.py:192(subscribe)
        2    0.000    0.000    0.002    0.001 pyparsing.py:4741(srange)
        1    0.001    0.001    0.002    0.002 xmlerror.pxi:694(__initErrorConstants)
      661    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.002    0.002 webbrowser.py:454(register_X_browsers)
        1    0.002    0.002    0.002    0.002 hashlib.py:56(<module>)
      132    0.000    0.000    0.002    0.000 linecache.py:33(getlines)
        1    0.000    0.000    0.002    0.002 zipfile.py:3(<module>)
       84    0.000    0.000    0.002    0.000 pyparsing.py:3368(__init__)
        2    0.000    0.000    0.002    0.001 pyparsing.py:1586(parseString)
        1    0.000    0.000    0.002    0.002 filepath.py:7(<module>)
       17    0.000    0.000    0.001    0.000 linecache.py:72(updatecache)
     4075    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
     1332    0.001    0.000    0.001    0.000 __init__.py:2412(<lambda>)
     3146    0.001    0.000    0.001    0.000 sre_parse.py:149(append)
       26    0.000    0.000    0.001    0.000 traceback.py:281(extract_stack)
        1    0.001    0.001    0.001    0.001 encoders.py:5(<module>)
        1    0.000    0.000    0.001    0.001 python.py:3(<module>)
      252    0.000    0.000    0.001    0.000 codecs.py:311(decode)
     4160    0.001    0.000    0.001    0.000 __init__.py:2212(_normalize_cached)
        1    0.001    0.001    0.001    0.001 http_headers.py:7(<module>)
        1    0.000    0.000    0.001    0.001 reflect.py:8(<module>)
      504    0.001    0.000    0.001    0.000 {_codecs.utf_8_decode}
     4306    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
        1    0.000    0.000    0.001    0.001 exceptions.py:5(<module>)
        1    0.000    0.000    0.001    0.001 plistlib.py:51(<module>)
      365    0.000    0.000    0.001    0.000 webbrowser.py:114(_isexecutable)
        1    0.000    0.000    0.001    0.001 _stdlib.py:7(<module>)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:231(RawConfigParser)
       17    0.001    0.000    0.001    0.000 {method 'readlines' of 'file' objects}
        1    0.000    0.000    0.001    0.001 decorators.py:1(<module>)
     2152    0.001    0.000    0.001    0.000 posixpath.py:52(isabs)
      218    0.001    0.000    0.001    0.000 {open}
        3    0.001    0.000    0.001    0.000 __init__.py:490(PYFUNCTYPE)
        1    0.000    0.000    0.001    0.001 xmlrpclib.py:138(<module>)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:1347(_parseNoCache)
     10/2    0.000    0.000    0.001    0.001 pyparsing.py:3375(parseImpl)
        1    0.000    0.000    0.001    0.001 config.py:350(BaseConfigurator)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
     2138    0.001    0.000    0.001    0.000 interface.py:218(<lambda>)
      252    0.001    0.000    0.001    0.000 {method 'splitlines' of 'unicode' objects}
        1    0.001    0.001    0.001    0.001 interface.py:15(<module>)
        1    0.001    0.001    0.001    0.001 six.py:1(<module>)
      337    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
      252    0.000    0.000    0.001    0.000 __init__.py:1868(_warn_on_replacement)
        1    0.000    0.000    0.001    0.001 specifiers.py:214(LegacySpecifier)
  238/156    0.000    0.000    0.001    0.000 pyparsing.py:131(_ustr)
     2053    0.001    0.000    0.001    0.000 sre_parse.py:92(__init__)
       11    0.000    0.000    0.001    0.000 utils.py:27(register_decorator)
     5298    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
      542    0.001    0.000    0.001    0.000 sre_parse.py:236(_class_escape)
     4487    0.001    0.000    0.001    0.000 {min}
     2409    0.001    0.000    0.001    0.000 string.py:222(lower)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
      127    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     5722    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
     4978    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
       23    0.000    0.000    0.001    0.000 six.py:814(wrapper)
        4    0.000    0.000    0.001    0.000 __init__.py:1940(find_eggs_in_zip)
        1    0.000    0.000    0.001    0.001 basic.py:8(<module>)
        1    0.000    0.000    0.001    0.001 abstract.py:7(<module>)
       49    0.000    0.000    0.001    0.000 pyparsing.py:1926(__or__)
     2269    0.001    0.000    0.001    0.000 {setattr}
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:3715(parseImpl)
        2    0.000    0.000    0.001    0.000 pyparsing.py:3837(parseImpl)
        1    0.000    0.000    0.001    0.001 markupbase.py:7(<module>)
      333    0.001    0.000    0.001    0.000 posixpath.py:120(dirname)
       52    0.000    0.000    0.001    0.000 linecache.py:13(getline)
     1805    0.001    0.000    0.001    0.000 sre_compile.py:101(fixup)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
      602    0.001    0.000    0.001    0.000 pkgutil.py:366(get_importer)
       49    0.000    0.000    0.001    0.000 pyparsing.py:3518(__init__)
       14    0.000    0.000    0.001    0.000 pyparsing.py:2004(__call__)
       11    0.000    0.000    0.001    0.000 utils.py:74(verify_interface)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
      253    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
        2    0.001    0.000    0.001    0.000 error.py:6(<module>)
        1    0.000    0.000    0.001    0.001 _elementpath.py:56(<module>)
        1    0.000    0.000    0.001    0.001 httplib.py:67(<module>)
        1    0.000    0.000    0.001    0.001 signalmanager.py:1(<module>)
      561    0.001    0.000    0.001    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.001    0.001 crawl.py:6(<module>)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 sitemap.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        3    0.000    0.000    0.001    0.000 __init__.py:153(__new__)
     2464    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       26    0.000    0.000    0.001    0.000 __init__.py:1933(find_distributions)
    42/34    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 interfaces.py:5(<module>)
      578    0.000    0.000    0.001    0.000 weakref.py:357(get)
      283    0.001    0.000    0.001    0.000 weakref.py:297(__init__)
       14    0.000    0.000    0.001    0.000 __init__.py:2207(normalize_path)
        1    0.000    0.000    0.001    0.001 sendmsg.py:7(<module>)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3697(__init__)
       85    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.001    0.001 win32.py:12(<module>)
  505/240    0.001    0.000    0.001    0.000 declarations.py:824(_normalizeargs)
      306    0.000    0.000    0.001    0.000 {all}
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.001    0.001 spider.py:1(<module>)
      489    0.001    0.000    0.001    0.000 {imp.get_suffixes}
        1    0.000    0.000    0.001    0.001 __init__.py:1632(MemoizedZipManifests)
      680    0.000    0.000    0.001    0.000 stat.py:40(S_ISDIR)
       94    0.000    0.000    0.001    0.000 __init__.py:2180(file_ns_handler)
       27    0.000    0.000    0.001    0.000 abc.py:105(register)
      834    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 defer.py:17(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4659(originalTextFor)
   121/92    0.000    0.000    0.001    0.000 {issubclass}
        1    0.000    0.000    0.001    0.001 components.py:29(<module>)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2390(__init__)
        1    0.000    0.000    0.001    0.001 basic.py:57(NetstringReceiver)
     20/4    0.000    0.000    0.001    0.000 pyparsing.py:3297(streamline)
      204    0.000    0.000    0.001    0.000 sre_parse.py:189(__init__)
        1    0.000    0.000    0.001    0.001 task.py:7(<module>)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3331(setResultsName)
     1512    0.001    0.000    0.001    0.000 {method 'startswith' of 'unicode' objects}
        1    0.001    0.001    0.001    0.001 handlers.py:24(<module>)
        1    0.000    0.000    0.001    0.001 gz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 xpath.py:13(<module>)
     3526    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
      864    0.001    0.000    0.001    0.000 deprecate.py:314(__getattribute__)
        3    0.000    0.000    0.001    0.000 __init__.py:1821(_has)
        1    0.000    0.000    0.001    0.001 dsa.py:5(<module>)
        1    0.000    0.000    0.001    0.001 datatypes.py:6(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      703    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _filter.py:7(<module>)
        1    0.000    0.000    0.000    0.000 cgi.py:16(<module>)
        9    0.000    0.000    0.000    0.000 deprecate.py:258(deprecationDecorator)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7f592defd1b8}
      215    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 io.py:34(<module>)
